,0,1,2,3,4,5
1763405266,2290697703,2938846453,1960231251,2938846459,,
2290697703,1763405266,544544001,,,,
28814200,1588267555,1588267554,2998260573,,,
1588267555,28814200,2730758114,2730974375,,,
28818133,534449469,529919028,,,,
534449469,28818133,1266496080,533896766,,,
1266496080,534449469,1266495908,1415712770,,,
1266495908,1266496080,28818129,1415712770,,,
28818129,1266495908,28818131,534669116,,,
28818131,28818129,529919028,28814433,,,
529919028,28818131,28818133,533896766,,,
28814403,1654044434,532197715,1654044432,,,
1654044434,28814403,1654044446,1654044432,914437767,,
255903805,255903804,527973589,255904807,,,
255903804,255903805,829905135,4339129772,,,
4339129774,1180678156,4339129772,,,,
1180678156,4339129774,4339915595,,,,
34075734,874076481,1700808209,,,,
874076481,34075734,255904807,1494392289,,,
255904807,874076481,255903805,2072130318,365152733,,
540667768,1640335119,540667767,540667770,,,
1640335119,540667768,1144237372,,,,
279008277,536758717,279197944,2299570408,,,
536758717,279008277,1973445850,,,,
1704228051,535390059,279189642,,,,
535390059,1704228051,1434652150,535390050,,,
1434652150,535390059,3438186661,,,,
2977715536,1837284155,1837284156,,,,
1837284155,2977715536,2977715327,3877007157,,,
2977715327,1837284155,279194747,,,,
726653621,279012689,726662271,,,,
279012689,726653621,512024707,726653625,2980005958,,
282539263,282539256,676796475,676808372,1989442477,,
282539256,282539263,538466549,486098015,,,
282539381,725017479,725008026,3653473474,,,
725017479,282539381,1934127226,,,,
28814411,534451362,282539389,,,,
534451362,28814411,534455945,2429027213,,,
532197715,28814403,28814396,2619025385,,,
1538168076,1989256514,1538168081,,,,
1989256514,1538168076,1989256515,282539287,,,
364855598,364855578,4397711903,618744396,,,
364855578,364855598,,,,,
3206609022,3206609681,3206609010,472469559,,,
3206609681,3206609022,3206609732,3206609870,,,
409711750,923904624,409717309,2021184548,,,
923904624,409711750,5061613444,923904613,,,
5061613444,923904624,4612503473,5061613449,,,
4612503473,5061613444,923904514,5061613462,,,
923904514,4612503473,1141213223,923904551,2615503510,,
1141213223,923904514,1397397280,1141213262,,,
1397397280,1141213223,409717335,1397397273,,,
409717335,1397397280,1837381797,,,,
409717371,472463975,506885998,583820816,,,
472463975,409717371,468770153,,,,
28809428,429851771,429851751,,,,
429851771,28809428,28818053,28809429,429851765,,
28818053,429851771,2101612905,2101612913,,,
429851778,429851782,28818050,28809426,558992733,,
429851782,429851778,429851786,2101612899,2101612902,,
282539254,3951761978,706302891,706302898,,,
3951761978,282539254,885382217,,,,
446215621,1928650654,279189649,279189642,,,
1928650654,446215621,1928650657,1928650662,,,
365153599,705406653,1725027232,705420081,,,
705406653,365153599,705406749,705406655,,,
446215732,532144485,532144833,279189668,,,
532144485,446215732,532144456,532144529,1621275600,,
2101612906,429851751,2101612907,2101612902,,,
429851751,2101612906,2101612910,28809428,28809427,,
2101612910,429851751,2101612913,2101612908,,,
429851786,429851782,28809430,3410617596,,,
282539225,534451354,1776891238,1776891229,,,
534451354,282539225,2979389044,514745036,,,
28814433,28818131,906942866,534669123,,,
2914200234,471928333,296594913,,,,
471928333,2914200234,579942000,528171593,309380359,2914200238,
472469563,2026211118,799245458,3634698421,,,
2026211118,472469563,472469587,1962479684,2026211089,,
472469587,2026211118,472469588,,,,
364853762,484256853,559547112,,,,
484256853,364853762,768065106,2709835157,,,
484211732,1440261500,484256838,2441866765,,,
1440261500,484211732,1440334090,1440261498,,,
28818050,429851778,506458004,28818048,,,
1527707699,472469559,5017576610,,,,
472469559,1527707699,3206609022,,,,
534688298,486098058,486098009,528701161,,,
486098058,534688298,534690687,529893920,,,
282539370,2164964478,564178269,,,,
2164964478,282539370,564163569,,,,
409717378,1634990942,528720933,1633684671,,,
1634990942,409717378,506701981,,,,
28818249,534455953,1180413997,2214355635,,,
534455953,28818249,2319361137,28818253,,,
2938846453,1763405266,2938846427,2938846459,,,
2938846427,2938846453,2938846425,,,,
506317912,506317923,1704227929,518926888,,,
506317923,506317912,574310028,,,,
574310028,506317923,1928650608,,,,
506318002,1897684340,541436588,506317999,,,
1897684340,506318002,506317963,,,,
