,0,1,2,3,4,5
1763405266,2290697703,2938846453,1183255401,2938846459,,
2290697703,1763405266,544544001,,,,
28814200,2963435821,1588267554,2998260573,,,
2963435821,28814200,1588267555,2730974404,,,
1588267555,2963435821,2730758114,2730974375,,,
28818133,534449469,529919028,,,,
534449469,28818133,1266496080,533896766,,,
1266496080,534449469,1266495908,1415712770,,,
1266495908,1266496080,28818129,1415712770,,,
28818129,1266495908,28818131,1578716639,,,
28818131,28818129,529919028,1793032993,,,
529919028,28818131,28818133,533896766,,,
28814403,1654044434,2906810012,1654044432,,,
1654044434,28814403,1654044446,1654044432,914437767,,
255903805,2485930895,527973589,1181146407,,,
2485930895,255903805,829885115,2485930899,,,
829885115,2485930895,829885106,829885129,,,
829885106,829885115,255903804,829885137,,,
255903804,829885106,5302317106,4339129772,,,
4339129774,1466914399,4427348563,4339129772,,,
1466914399,4339129774,1180678156,4754683779,,,
1180678156,1466914399,4339915595,4754683740,,,
34075734,2621029247,574306858,,,,
2621029247,34075734,2621029255,2621029248,,,
2621029255,2621029247,874076481,2621029252,,,
874076481,2621029255,255904807,1494392271,,,
255904807,874076481,1497256735,2072130318,365152733,,
540667768,2305957409,540667767,540667770,,,
2305957409,540667768,1640335119,2305957407,,,
1640335119,2305957409,1640335127,1144237372,,,
690577518,279008276,,,,,
279008276,690577518,3797318774,28809450,1640335207,,
279008277,536758717,279197944,2299570408,,,
536758717,279008277,1973445850,,,,
1704228051,535390059,279189642,,,,
535390059,1704228051,1979255209,1979255098,,,
1979255209,535390059,2694730159,1979255211,,,
2694730159,1979255209,537529075,2694730157,,,
537529075,2694730159,2897884903,1979255213,2897882774,,
2897884903,537529075,1434652150,2897882781,,,
1434652150,2897884903,2897884906,2897882784,,,
2977715536,1837284155,1837284156,,,,
1837284155,2977715536,2977715327,1921616628,,,
2977715327,1837284155,279194747,,,,
726653621,279012689,726653640,726662271,,,
279012689,726653621,726662277,1864301821,2980005958,,
282539263,282539256,705523273,676808372,1579281336,,
282539256,282539263,538466549,486098015,,,
282539381,282539382,725008026,3653473474,,,
282539382,282539381,5255929308,725008038,,,
5255929308,282539382,3175339386,2164964400,,,
3175339386,5255929308,3577367344,3175339390,,,
3577367344,3175339386,5167981125,3175199396,,,
5167981125,3577367344,725017479,5167981123,,,
725017479,5167981125,1934127226,,,,
28814411,534451362,282539389,,,,
534451362,28814411,534455945,2429027213,,,
2906810012,28814403,532197715,2221735856,,,
532197715,2906810012,619350217,2619025385,,,
1538168076,1989256514,1538168081,,,,
1989256514,1538168076,1989256515,282539287,,,
364855598,4359233537,4359233522,618744396,,,
4359233537,364855598,364855578,4359233522,,,
364855578,4359233537,1837262988,,,,
3206609022,3206609681,3206609010,472469559,,,
3206609681,3206609022,3206609732,3206609870,,,
409711750,923904624,2059683417,2021184548,,,
923904624,409711750,5061613444,923904613,,,
5061613444,923904624,4612503473,5061613449,,,
4612503473,5061613444,923904514,5061613462,,,
923904514,4612503473,1141213223,923904551,2615503510,,
1141213223,923904514,1462082462,1141213262,,,
1462082462,1141213223,1473382632,1462082469,,,
1473382632,1462082462,1397397280,1473382624,,,
1397397280,1473382632,409717335,1397397273,,,
409717335,1397397280,1139574086,1837381797,,,
409717371,472463975,506885998,583820816,,,
472463975,409717371,468770153,,,,
28809428,429851771,429851751,,,,
429851771,28809428,28818053,28809429,429851765,,
28818053,429851771,2101612905,2101612913,,,
429851778,429851782,28818050,28809426,558992733,,
429851782,429851778,429851786,2101612899,2101612902,,
282539254,3951761978,706302891,706302898,1198772002,,
3951761978,282539254,885382217,,,,
446215621,1621261710,4110066946,1704228069,,,
1621261710,446215621,2021261830,1621261724,,,
2021261830,1621261710,1928650654,2021261832,,,
1928650654,2021261830,1928650657,1928650662,,,
365153599,705406653,1725027232,705420081,,,
705406653,365153599,705406749,705406655,,,
446215732,532144485,1674426214,1621278969,,,
532144485,446215732,532144456,532144529,1621275600,,
2101612906,429851751,2101612907,2101612902,,,
429851751,2101612906,2101612910,28809428,28809427,,
2101612910,429851751,2101612913,2101612908,,,
429851786,429851782,28809430,3410617596,,,
282539225,534451354,1776891238,1776891229,,,
534451354,282539225,2979389044,514745036,,,
28814433,1578716659,906942866,534669123,,,
1578716659,28814433,1678058940,1578716650,,,
1678058940,1578716659,1462814017,1678058942,,,
1462814017,1678058940,1793032993,2671882282,,,
1793032993,1462814017,28818131,1793032991,,,
2914200234,471928333,1989442440,,,,
471928333,2914200234,579942000,528171593,309380359,2914200238,
472469563,1478860230,446215708,3094471750,1478860236,,
1478860230,472469563,1478860218,1478860218,,,
1478860218,1478860230,472469569,1478860230,3634689408,,
472469569,1478860218,472469576,3634689403,,,
472469576,472469569,2026211118,2026211150,,,
2026211118,472469576,3565612050,3125419017,2026211089,,
3565612050,2026211118,472469587,3565612039,,,
472469587,3565612050,472469588,,,,
364853762,484256853,559547112,,,,
484256853,364853762,768065106,2709835157,,,
484211732,1440261500,484256838,2441866765,,,
1440261500,484211732,1440334090,1440261498,,,
28818050,429851778,506458004,28818048,,,
1527707699,472469559,5017576610,,,,
472469559,1527707699,3206609022,,,,
534688298,486098058,2162413358,528701161,,,
486098058,534688298,3653473498,529893920,,,
282539370,2164964478,564178269,,,,
2164964478,282539370,2164964476,564163569,,,
409717378,2348370177,1232654769,1633684671,,,
2348370177,409717378,2348370169,2348370181,,,
2348370169,2348370177,2348370147,2348370164,,,
2348370147,2348370169,3954141928,2348370151,,,
3954141928,2348370147,1892845292,3954141925,,,
1892845292,3954141928,1634990942,1892845288,,,
1634990942,1892845292,1892845280,,,,
28818249,534455953,1180413997,2214355635,,,
534455953,28818249,2319361137,28818253,,,
2938846453,1763405266,3159613437,2938846459,,,
3159613437,2938846453,2071230983,3554973635,,,
2071230983,3159613437,2071230977,2071230977,,,
2071230977,2071230983,2938846427,2071230983,,,
2938846427,2071230977,2938846425,,,,
506317912,574312400,1704227903,518926888,,,
574312400,506317912,506317923,574312399,,,
506317923,574312400,574312405,,,,
574312405,506317923,574310028,574312406,,,
574310028,574312405,1928650608,,,,
506318002,1897684340,28809437,506317999,,,
1897684340,506318002,1897684354,506317963,,,
506317963,506317999,1897684338,1897684340,1897684336,,
506317999,506317963,506318002,28809438,,,
506318046,3172158051,506318035,506318041,,,
3172158051,506318046,3172160375,3172158046,,,
3172160375,3172158051,506317933,3172160367,,,
506317933,3172160375,1897684336,,,,
506318035,506318046,2956147960,506318041,,,
506318041,506318046,3319502109,506318035,,,
2956147960,506318035,4776785561,,,,
506318075,506318077,,,,,
506318077,506318075,,,,,
28809439,513424612,513424613,,,,
513424612,28809439,506458394,2945446239,,,
506458394,513424612,513424613,506318066,,,
513424613,506458394,540667782,28809439,,,
506318066,506458394,4776785561,,,,
279191836,2979251826,1423188776,506460654,,,
2979251826,279191836,2979251824,516008673,,,
279010051,506460654,279010048,1621291708,,,
506460654,279010051,516008579,279191836,,,
446215620,512545527,2944306668,1837285304,,,
512545527,446215620,2366269540,3964585808,2937875624,,
2944306668,446215620,2408664895,2944306673,,,
2408664895,2944306668,2408664913,2408664915,,,
2408664913,2408664895,2408664917,2408664916,2408664899,,
2408664917,2408664913,446215611,2408664914,,,
446215611,2408664917,513630568,,,,
28809626,3220921300,541991745,,,,
3220921300,28809626,28809627,,,,
28809630,1973474913,1987506305,1987506295,,,
1973474913,28809630,1812246052,1973474899,,,
1812246052,1973474913,507246976,1812246043,1812465842,,
507246976,1812246052,2224715970,1812246038,,,
506698780,506698791,506698801,2347313161,,,
506698791,506698780,506698801,506698743,,,
506698801,506698780,528713631,506698791,,,
409717363,1085361961,3077304609,682298440,506704506,,
1085361961,409717363,1131232516,1131232512,,,
1131232516,1085361961,409717362,1131232586,,,
409717362,1131232516,506704501,3134755984,,,
506704501,4214848638,409717362,,,,
4214848638,506704501,506704506,4214848635,,,
506704506,4214848638,3077304608,409717363,,,
506885998,506885999,409717371,672833432,,,
506885999,506885998,506886004,,,,
3206610255,3206610369,4874934879,4031618797,,,
3206610369,3206610255,506985922,4031618810,,,
506985922,3206610369,506985932,1178987905,,,
506985932,506985922,1178987926,469479995,,,
506991052,735115046,735115046,3018137465,506988986,,
735115046,506991052,735115031,506991052,,,
507246990,507247000,1632531292,,,,
507247000,507246990,1987506307,2331001000,,,
507246996,1641741373,1620654316,1632531292,,,
1641741373,507246996,1642796755,1641741375,,,
1642796755,1641741373,1423269120,1642796751,,,
1423269120,1642796755,409717377,,,,
507247768,507247766,803643006,2019906099,,,
507247766,507247768,2019906090,2019906099,,,
2019906090,507247766,2019906081,4585230242,,,
2019906081,2019906090,507247758,2019906093,,,
507247758,2019906081,2019906093,1683709744,2653398820,,
