,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
0,2441736411,2441736428,2441736430,2441736434,2441736437,3169602528,581932326,3169602525,1796903278,537528682,2760784339,2299940840,2760784337,536758709,536758713,536758715,279197944,279008275,538384740,1921616631,1837284156,279194747,1921616590,1921616586,4720039735,538769971,537514712,1577989319,2928908942,2928908939,2980006012,2980006006,279012688,2980005958,279012689,1864301821,726653625,4492343397,540226691,2894273587,279012700,1654304235,1654304230,619302777,1654304224,279012697,279012696,3147642952,619240258,279012695,619356450,1654304164,1654304159,364855982,550196935,1153191044,1182964361,550187677,282539386,28814383,1415940980,532246781,1446139911,528184298,518878482,528184304,518878436,1367873526,676796477,2385002755,1512683283,296594913,2397749382,2914200271,1989442469,676796430,1143390723,1512683245,1512683237,1989413487,564159980,1538168081,1538168076,1989256514,282539287,1989413479,539384075,539579726,539579658,766777535,610372392,766788242,766831354,610404270,766831360,1719034459,610414875,610414878,1496999973,550130527,1470547620,1496980867,1470655378,2110327918,4314606757,4314606756,539376642,1320827671,4289414680,4289414676,1320827519,610433780,2026360990,1127816541,1470693578,1127816672,1557885937,1474044399,1127816859,5038539165,296604036,1943821660,1320827546,1943821574,1127673786,1127673727,1127673655,1127673867,1127673824,1127673870,255904997,1727516311,1127674223,1727516130,255906234,1127673629,1127673591,1127673694,1127674178,1127673791,2703375362,1127157965,2630752331,2630752322,255906236,1133819523,4717345732,1619795760,1457585051,1133819726,1748298339,4233286378,874136473,409717379,1457584595,1457584591,255906249,1470547614,1470547613,874237023,2010244782,1456573321,255906346,2630756584,1128213870,1128215379,1456573262,1125523124
1,4538259141,4538259140,1156375721,3402744620,266711173,1110394595,1110394690,736428880,3402744599,3402740289,736428867,736428853,3402740279,3402740277,3402740271,691766399,2926440647,4459084288,2926440641,2926440640,2926440638,691817314,550202413,691817229,550179531,550187766,2402236731,691817226,760426167,760426114,1153191021,760423233,1182964361,550187677,282539386,28814383,1415940980,532246781,1446139911,528184298,518878482,528184304,518878436,1367873526,676796477,2385002755,1512683283,296594913,2397749382,2914200271,1989442469,676796430,1143390723,1512683245,1512683237,1989413487,564159980,1538168081,1538168076,1989256514,282539287,1989413479,539384075,539579726,539579658,766777535,610372392,766788242,766831354,610404270,766831360,1719034459,610414875,610414878,1496999973,550130527,1470547620,1496980867,1470655378,2110327918,4314606757,4314606756,539376642,1320827671,4289414680,4289414676,1320827519,610433780,2026360990,1127816541,1470693578,1127816672,1557885937,1474044399,1127816859,5038539165,296604036,1943821660,1320827546,1943821574,1127673786,1127673727,1127673655,1127673867,1127673824,1127673870,255904997,1727516311,1127674223,1727516130,255906234,1127673629,1127673591,1127673694,1127674178,1127673791,2703375362,1127157965,2630752331,2630752322,255906236,1133819523,4717345732,1619795760,1457585051,1133819726,1748298339,4233286378,874136473,409717379,1457584595,1457584591,255906249,1470547614,1470547613,874237023,2010244782,1456573321,255906346,2630756584,1128213870,1128215379,1456573262,1125523124,,,,,,,,,,,,,,,,,,,,,,,,
2,712414779,2295478120,978483808,2294521639,4355120621,2062630272,2062630277,2825727409,4355120606,4355120593,2062630249,2062630231,2062630230,2062630229,2956995344,2931347159,703336462,1812238674,1144237372,1640335119,2305957409,540667768,540667767,1144237641,3194441040,2306166017,28809458,679290023,736470256,736470328,2930988479,3183470335,3183470323,2929384487,597347433,4233131182,597340964,1732775836,760380625,3021723426,1732775809,760349634,3021723414,1732775792,1732775778,760335771,1732775752,279012695,619356450,1654304164,1654304159,364855982,550196935,1153191044,1182964361,550187677,282539386,28814383,1415940980,532246781,1446139911,528184298,518878482,528184304,518878436,1367873526,676796477,2385002755,1512683283,296594913,2397749382,2914200271,1989442469,676796430,1143390723,1512683245,1512683237,1989413487,564159980,1538168081,1538168076,1989256514,282539287,1989413479,539384075,539579726,539579658,766777535,610372392,766788242,766831354,610404270,766831360,1719034459,610414875,610414878,1496999973,550130527,1470547620,1496980867,1470655378,2110327918,4314606757,4314606756,539376642,1320827671,4289414680,4289414676,1320827519,610433780,2026360990,1127816541,1470693578,1127816672,1557885937,1474044399,1127816859,5038539165,296604036,1943821660,1320827546,1943821574,1127673786,1127673727,1127673655,1127673867,1127673824,1127673870,255904997,1727516311,1127674223,1727516130,255906234,1127673629,1127673591,1127673694,1127674178,1127673791,2703375362,1127157965,2630752331,2630752322,255906236,1133819523,4717345732,1619795760,1457585051,1133819726,1748298339,4233286378,874136473,409717379,1457584595,1457584591,255906249,1470547614,1470547613,874237023,2010244782,1456573321,255906346,2630756584,1128213870,1128215379,1456573262,1125523124,,
3,2224715854,529898435,508501281,508501276,508583177,446215642,28818196,28818195,529603748,2978833981,2244507603,529916099,3660969550,529916107,529916119,529916131,2429867750,1780955525,1257863418,533901352,4461051679,533896772,885382201,885382359,4285208749,533896770,1190929884,4285208715,1462813794,1462813645,1462813610,1462813560,566306010,1858172112,2923922894,529920415,28818120,700944194,28818119,282539407,529950931,916965495,916965687,3951762022,3951762018,3951762013,558985253,1440340125,1778715144,538431920,706302891,706302898,486098015,282539256,282539263,1579281336,1145269530,1787038208,1989442477,282539282,282539286,282539287,1989413479,539384075,539579726,539579658,766777535,610372392,766788242,766831354,610404270,766831360,1719034459,610414875,610414878,1496999973,550130527,1470547620,1496980867,1470655378,2110327918,4314606757,4314606756,539376642,1320827671,4289414680,4289414676,1320827519,610433780,2026360990,1127816541,1470693578,1127816672,1557885937,1474044399,1127816859,5038539165,296604036,1943821660,1320827546,1943821574,1127673786,1127673727,1127673655,1127673867,1127673824,1127673870,255904997,1727516311,1127674223,1727516130,255906234,1127673629,1127673591,1127673694,1127674178,1127673791,2703375362,1127157965,2630752331,2630752322,255906236,1133819523,4717345732,1619795760,1457585051,1133819726,1748298339,4233286378,874136473,409717379,1457584595,1457584591,255906249,1470547614,1470547613,874237023,2010244782,1456573321,255906346,2630756584,1128213870,1128215379,1456573262,1125523124,,,,,,,,,,,,,,,,,,,,,,,
4,2019805035,2019805047,2019805044,4177650638,282539345,1121917614,513626094,513628937,1036999830,1678059030,907027716,1678059009,907002850,907002784,2978833895,28814435,906942866,28814433,1578716659,1678058940,534669011,1678058905,1462814017,1793032993,28818131,28818129,1266495908,1415712770,1462813645,1462813610,1462813560,566306010,1858172112,2923922894,529920415,28818120,700944194,28818119,282539407,529950931,916965495,916965687,3951762022,3951762018,3951762013,558985253,1440340125,1778715144,538431920,706302891,706302898,486098015,282539256,282539263,1579281336,1145269530,1787038208,1989442477,282539282,282539286,282539287,1989413479,539384075,539579726,539579658,766777535,610372392,766788242,766831354,610404270,766831360,1719034459,610414875,610414878,1496999973,550130527,1470547620,1496980867,1470655378,2110327918,4314606757,4314606756,539376642,1320827671,4289414680,4289414676,1320827519,610433780,2026360990,1127816541,1470693578,1127816672,1557885937,1474044399,1127816859,5038539165,296604036,1943821660,1320827546,1943821574,1127673786,1127673727,1127673655,1127673867,1127673824,1127673870,255904997,1727516311,1127674223,1727516130,255906234,1127673629,1127673591,1127673694,1127674178,1127673791,2703375362,1127157965,2630752331,2630752322,255906236,1133819523,4717345732,1619795760,1457585051,1133819726,1748298339,4233286378,874136473,409717379,1457584595,1457584591,255906249,1470547614,1470547613,874237023,2010244782,1456573321,255906346,2630756584,1128213870,1128215379,1456573262,1125523124,,,,,,,,,,,,,,,,,,,,,,,,
5,1741249559,563895355,1137945368,1201381059,1741249535,792691411,5426622807,792633298,792683979,792633335,792633309,792683897,792633338,792683892,792633343,518860030,518860213,1036326143,1036326232,518860209,4516652171,961477161,518860111,955712970,4543607652,1122485017,955713001,944024428,5428578520,539383403,518861976,944024477,527980273,518861955,1457474605,1651431239,518860141,539585286,539585285,539379143,539380287,539382974,528143708,3217780605,1562388703,922304946,564123990,564123986,922305066,1863939223,1111487794,1863939225,922304943,539378256,564129227,528150854,917035472,917035610,2053894649,2053894651,1185602375,4884485633,528143712,610433814,2026360991,2026360992,2026360993,610433772,610433780,2026360990,1127816541,1470693578,1127816672,1557885937,1474044399,1127816859,5038539165,296604036,1943821660,1320827546,1943821574,1127673786,1127673727,1127673655,1127673867,1127673824,1127673870,255904997,1727516311,1127674223,1727516130,255906234,1127673629,1127673591,1127673694,1127674178,1127673791,2703375362,1127157965,2630752331,2630752322,255906236,1133819523,4717345732,1619795760,1457585051,1133819726,1748298339,4233286378,874136473,409717379,1457584595,1457584591,255906249,1470547614,1470547613,874237023,2010244782,1456573321,255906346,2630756584,1128213870,1128215379,1456573262,1125523124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1719034391,1719034386,4224609848,1132167607,539380299,4224609852,539382974,528143708,3217780605,1562388703,922304946,564123990,564123986,922305066,1863939223,1111487794,1863939225,922304943,539378256,564129227,528150854,917035472,917035610,2053894649,2053894651,1185602375,4884485633,528143712,610433814,2026360991,2026360992,2026360993,610433772,610433780,2026360990,1127816541,1470693578,1127816672,1557885937,1474044399,1127816859,5038539165,296604036,1943821660,1320827546,1943821574,1127673786,1127673727,1127673655,1127673867,1127673824,1127673870,255904997,1727516311,1127674223,1727516130,255906234,1127673629,1127673591,1127673694,1127674178,1127673791,2703375362,1127157965,2630752331,2630752322,255906236,1133819523,4717345732,1619795760,1457585051,1133819726,1748298339,4233286378,874136473,409717379,1457584595,1457584591,255906249,1470547614,1470547613,874237023,2010244782,1456573321,255906346,2630756584,1128213870,1128215379,1456573262,1125523124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,619258323,532159053,2214355635,28818249,1180413997,1180413979,1180423830,1180414006,532163697,532163580,2428911444,1180413999,1859766178,4982908957,1859766175,532205104,3898807651,532192278,532170088,532170110,529931641,529931648,529931656,916965870,916965791,742870601,3951762013,558985253,1440340125,1778715144,538431920,706302891,706302898,486098015,282539256,282539263,1579281336,1145269530,1787038208,1989442477,282539282,282539286,282539287,1989413479,539384075,539579726,539579658,766777535,610372392,766788242,766831354,610404270,766831360,1719034459,610414875,610414878,1496999973,550130527,1470547620,1496980867,1470655378,2110327918,4314606757,4314606756,539376642,1320827671,4289414680,4289414676,1320827519,610433780,2026360990,1127816541,1470693578,1127816672,1557885937,1474044399,1127816859,5038539165,296604036,1943821660,1320827546,1943821574,1127673786,1127673727,1127673655,1127673867,1127673824,1127673870,255904997,1727516311,1127674223,1727516130,255906234,1127673629,1127673591,1127673694,1127674178,1127673791,2703375362,1127157965,2630752331,2630752322,255906236,1133819523,4717345732,1619795760,1457585051,1133819726,1748298339,4233286378,874136473,409717379,1457584595,1457584591,255906249,1470547614,1470547613,874237023,2010244782,1456573321,255906346,2630756584,1128213870,1128215379,1456573262,1125523124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3125995551,3125995574,532204964,2162633366,2162633364,532192332,3898807646,4982908950,532192278,532170088,532170110,529931641,529931648,529931656,916965870,916965791,742870601,3951762013,558985253,1440340125,1778715144,538431920,706302891,706302898,486098015,282539256,282539263,1579281336,1145269530,1787038208,1989442477,282539282,282539286,282539287,1989413479,539384075,539579726,539579658,766777535,610372392,766788242,766831354,610404270,766831360,1719034459,610414875,610414878,1496999973,550130527,1470547620,1496980867,1470655378,2110327918,4314606757,4314606756,539376642,1320827671,4289414680,4289414676,1320827519,610433780,2026360990,1127816541,1470693578,1127816672,1557885937,1474044399,1127816859,5038539165,296604036,1943821660,1320827546,1943821574,1127673786,1127673727,1127673655,1127673867,1127673824,1127673870,255904997,1727516311,1127674223,1727516130,255906234,1127673629,1127673591,1127673694,1127674178,1127673791,2703375362,1127157965,2630752331,2630752322,255906236,1133819523,4717345732,1619795760,1457585051,1133819726,1748298339,4233286378,874136473,409717379,1457584595,1457584591,255906249,1470547614,1470547613,874237023,2010244782,1456573321,255906346,2630756584,1128213870,1128215379,1456573262,1125523124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1465710862,532145013,532145049,2810420208,1837284140,279197989,279191769,2893352674,610480200,535394389,2909350648,610480034,4433118764,4433118767,4433118763,4433118752,532159040,1976242644,2319361137,534455953,28818249,1180413997,1180413979,1180423830,1180414006,532163697,532163580,2428911444,1180413999,1859766178,4982908957,1859766175,532205104,3898807651,532192278,532170088,532170110,529931641,529931648,529931656,916965870,916965791,742870601,3951762013,558985253,1440340125,1778715144,538431920,706302891,706302898,486098015,282539256,282539263,1579281336,1145269530,1787038208,1989442477,282539282,282539286,282539287,1989413479,539384075,539579726,539579658,766777535,610372392,766788242,766831354,610404270,766831360,1719034459,610414875,610414878,1496999973,550130527,1470547620,1496980867,1470655378,2110327918,4314606757,4314606756,539376642,1320827671,4289414680,4289414676,1320827519,610433780,2026360990,1127816541,1470693578,1127816672,1557885937,1474044399,1127816859,5038539165,296604036,1943821660,1320827546,1943821574,1127673786,1127673727,1127673655,1127673867,1127673824,1127673870,255904997,1727516311,1127674223,1727516130,255906234,1127673629,1127673591,1127673694,1127674178,1127673791,2703375362,1127157965,2630752331,2630752322,255906236,1133819523,4717345732,1619795760,1457585051,1133819726,1748298339,4233286378,874136473,409717379,1457584595,1457584591,255906249,1470547614,1470547613,874237023,2010244782,1456573321,255906346,2630756584,1128213870,1128215379,1456573262,1125523124,,,,,,,,,,,,,,,,,,,,,,,,,
